index,carat,cut,color,clarity,depth,table,price,x,y,z
7603,0.92,Good,E,SI1,63.2,58,4258,6.16,6.18,3.9
7605,0.92,Premium,E,SI1,60.9,59,4258,6.25,6.27,3.81
7681,1,Ideal,F,SI2,61.8,57,4274,6.45,6.36,3.96
7760,1.03,Ideal,J,VS2,61.6,57,4283,6.52,6.47,4
7892,1,Very Good,E,SI2,60.6,61,4312,6.39,6.44,3.89
7929,0.93,Ideal,H,SI1,61.7,55,4317,6.26,6.29,3.87
7992,1.03,Very Good,E,SI2,60.7,63,4326,6.48,6.44,3.92
8070,0.31,Ideal,F,VS2,61.6,56,583,4.35,4.38,2.69
8120,0.91,Premium,D,SI1,63,59,4352,6.15,6.11,3.86
8139,1.01,Premium,I,SI1,62.3,58,4355,6.44,6.4,4
8142,0.9,Premium,H,VVS2,62,58,4355,6.16,6.13,3.81
8156,0.9,Very Good,G,VS1,62.4,55,4358,6.11,6.17,3.83
8161,1.1,Very Good,D,SI2,58.6,63,4361,6.76,6.69,3.94
8172,1.01,Very Good,E,SI2,63.5,55,4363,6.32,6.38,4.03
8174,1.02,Ideal,G,SI2,62.6,58,4363,6.42,6.4,4.01
8239,1.32,Premium,G,SI2,59.2,61,4373,7.21,7.14,4.25
8268,0.9,Premium,D,SI1,62.7,58,4381,6.09,6.15,3.84
8302,0.91,Ideal,H,SI1,61.9,56,4386,6.17,6.21,3.83
8318,0.9,Ideal,F,SI1,62.2,55,4390,6.16,6.21,3.85
8432,1.13,Good,D,SI2,60.7,64,4406,6.68,6.63,4
8451,1.06,Very Good,J,VS2,62.6,59,4413,6.49,6.57,4.09
8622,1.07,Premium,F,SI2,61.8,58,4446,6.57,6.51,4.04
8649,1,Premium,F,SI2,61.6,61,4452,6.36,6.33,3.91
8664,1.04,Ideal,G,SI2,61.7,56,4455,6.57,6.52,4.04
8683,1.1,Good,G,SI2,60.5,61,4457,6.69,6.74,4.06
8790,1.23,Premium,D,SI2,58,59,4470,7.02,6.97,4.06
8832,1.12,Premium,G,SI2,62.8,58,4478,6.62,6.57,4.14
8864,0.92,Premium,E,SI1,62.2,58,4482,6.23,6.18,3.86
8866,0.92,Fair,E,SI1,66.8,55,4482,6.04,5.99,4.02
8874,1.01,Very Good,F,SI2,61.9,57,4484,6.42,6.35,3.95
9061,0.9,Premium,I,IF,62.6,59,4516,6.15,6.12,3.84
9079,1.08,Ideal,I,SI1,62.1,59,4521,6.57,6.53,4.07
9087,0.9,Very Good,D,SI1,64.2,55,4523,6.09,6.16,3.93
9202,1.01,Very Good,F,SI1,63,57,4549,6.36,6.4,4.02
9266,0.92,Premium,E,SI1,59.8,59,4562,6.33,6.37,3.8
9319,1.09,Premium,H,SI2,61.7,60,4578,6.59,6.57,4.06
9331,0.9,Good,F,VS1,63.5,57,4580,6.06,6.09,3.86
9346,1.24,Very Good,J,SI2,62.2,58,4583,6.82,6.94,4.28
9389,0.32,Ideal,D,SI1,62.5,54,589,4.39,4.41,2.75
9406,1.03,Premium,F,SI2,61.6,58,4586,6.46,6.43,3.97
9453,1,Good,H,SI1,63.8,53,4596,6.39,6.27,4.04
9596,1.04,Ideal,F,SI2,62.6,57,4630,6.48,6.45,4.05
9628,0.92,Premium,H,VVS2,62.5,58,4637,6.25,6.16,3.88
9631,1.21,Very Good,G,SI1,63.4,60,4637,6.68,6.63,4.22
9664,0.9,Very Good,E,VS2,63,57,4643,6.07,6.15,3.85
9710,0.31,Ideal,E,VS2,62,56,589,4.36,4.38,2.71
9815,0.91,Very Good,H,VS1,59.4,63,4670,6.32,6.28,3.74
9822,1.01,Premium,G,SI1,61,62,4672,6.49,6.4,3.93
9877,1.01,Ideal,H,SI1,61.4,60,4680,6.48,6.45,3.97
9904,0.9,Premium,E,VS2,62.6,59,4687,6.14,6.06,3.82
9970,1.14,Good,I,SI1,63.5,56,4702,6.58,6.62,4.19
10029,0.29,Good,F,VS1,62.1,56,415,4.24,4.26,2.64
10134,0.97,Premium,D,SI1,62,60,4721,6.25,6.29,3.89
10186,1,Ideal,G,SI1,62.7,56,4737,6.36,6.39,4
10204,0.8,Ideal,G,VVS2,61.4,57,4740,5.96,6,3.67
10213,1.05,Premium,E,SI2,60.4,58,4742,6.59,6.55,3.97
10245,1,Very Good,F,SI2,63.3,60,4749,6.32,6.25,3.98
10268,1.01,Premium,D,SI1,62.8,58,4751,6.37,6.3,3.98
10285,1.11,Ideal,G,SI2,60.5,56,4755,6.71,6.67,4.05
10354,0.91,Fair,E,VS1,64.5,58,4770,6.14,6.1,3.95
10357,1.01,Premium,H,SI1,59.5,59,4771,6.56,6.52,3.89
10359,1.2,Ideal,H,VS2,62.8,57,4771,6.71,6.67,4.2
10364,1.23,Ideal,I,SI2,62.3,55,4773,6.85,6.82,4.26
10378,1.09,Ideal,J,VS2,43,54,4778,6.53,6.55,4.12
10402,0.31,Very Good,G,SI1,63.2,57,593,4.3,4.27,2.71
10485,1.01,Premium,F,SI2,62.2,57,4796,6.43,6.36,3.98
10496,1.02,Ideal,I,VS1,60.2,57,4798,6.56,6.49,3.93
10517,0.91,Ideal,F,SI1,62,57,4801,6.22,6.24,3.86
10545,1.1,Ideal,F,SI2,60.4,55,4809,6.73,6.77,4.08
10687,1,Good,F,SI1,63.8,57,4844,6.21,6.29,3.99
10709,0.96,Fair,F,SI1,60.7,65,4849,6.43,6.28,3.86
10727,0.31,Good,D,SI2,63.9,57,593,4.33,4.28,2.75
10749,1.02,Ideal,F,SI2,62.6,56,4851,6.38,6.44,4.01
10780,0.9,Very Good,E,VS2,62.7,56,4858,6.13,6.21,3.87
10834,1.09,Ideal,H,SI1,61.9,56,4871,6.64,6.61,4.1
10844,1.06,Premium,H,SI1,62.8,58,4872,6.49,6.47,4.07
10860,1.03,Ideal,H,VS1,61.5,57,4874,6.49,6.45,3.98
10873,1.1,Very Good,I,VS1,61,59,4878,6.65,6.67,4.06
11104,1.02,Very Good,H,SI1,62.8,58,4932,6.37,6.43,4.02
11176,1.12,Very Good,F,SI2,61.5,58,4953,6.63,6.68,4.09
11210,1.15,Premium,H,SI2,62.9,56,4959,6.7,6.59,4.18
11380,0.34,Very Good,E,SI1,62.9,56,596,4.45,4.48,2.81
11396,0.34,Ideal,G,VS2,62.5,57,596,4.46,4.5,2.8
11531,1,Fair,E,SI1,57.6,57,5027,6.56,6.52,3.77
11536,1.01,Premium,H,VS2,61.3,58,5028,6.46,6.49,3.97
11580,0.9,Very Good,D,SI1,60.6,59,5040,6.23,6.28,3.79
11609,1.15,Very Good,H,SI1,60.9,57,5047,6.72,6.8,4.12
11643,1.13,Very Good,E,SI2,60.3,58,5052,6.78,6.86,4.11
11704,0.34,Premium,H,VS1,61.6,59,596,4.49,4.54,2.78
11767,1.1,Very Good,I,VS1,60.2,59,5082,6.67,6.71,4.03
11831,1.21,Good,J,VS2,61,64,5096,6.89,6.79,4.17
11868,1.12,Premium,D,SI2,58.2,60,5107,6.9,6.81,3.99
12004,1.01,Premium,D,SI1,59.2,61,5147,6.4,6.34,3.77
12048,0.34,Very Good,E,SI1,59,60,596,4.56,4.62,2.71
12128,1,Premium,H,VS1,61.8,61,5169,6.4,6.31,3.93
12130,1.57,Ideal,H,I1,62.8,56,5170,7.42,7.36,4.64
12158,0.91,Ideal,F,SI1,62,55,5176,6.21,6.24,3.86
12175,1.18,Ideal,H,SI2,61.2,57,5182,6.81,6.86,4.18
12235,1.02,Premium,D,SI2,59.7,60,5198,6.58,6.55,3.92
12292,1.23,Ideal,J,VS2,61.5,57,5217,6.9,6.95,4.26
12414,1.12,Very Good,H,SI1,62.3,55,5236,6.64,6.69,4.15
12510,1.25,Ideal,G,SI2,61.6,57,5259,6.91,6.98,4.28
12554,1.01,Ideal,G,SI1,61.6,57,5273,6.4,6.32,3.92
12579,1.2,Very Good,H,SI2,62,58,5280,6.76,6.91,4.24
12622,1,Premium,G,SI1,62.7,59,5292,6.36,6.31,3.97
12657,1.25,Premium,J,VS2,62.2,59,5299,6.86,6.88,4.27
12668,1.16,Ideal,I,VS2,61.5,57,5302,6.78,6.75,4.16
12825,1.1,Ideal,H,VS2,60.5,57,5347,6.73,6.7,4.06
12932,1.14,Ideal,H,SI1,62.3,56,5382,6.69,6.77,4.19
12961,1.21,Ideal,J,SI1,62.7,55.2,5390,6.79,6.84,4.27
13065,1.16,Ideal,H,SI1,64.2,59,5411,6.66,6.61,4.26
13081,1.01,Premium,H,VS1,61.1,58,5416,6.45,6.48,3.95
13108,1.02,Ideal,G,SI1,62.1,55,5426,6.46,6.49,4.02
13236,1.22,Premium,I,SI1,62.1,59,5466,6.86,6.8,4.24
13240,1.02,Premium,H,VS1,62.1,59,5469,6.38,6.43,3.98
13242,1.04,Ideal,H,SI1,61.7,56,5469,6.51,6.55,4.03
13361,0.24,Very Good,F,VS2,62.4,58,419,3.98,4,2.49
13401,0.32,Ideal,F,VS2,62.4,57,602,4.37,4.44,2.75
13402,0.32,Very Good,G,VS1,61.2,62,602,4.41,4.45,2.71
13466,1.27,Very Good,J,VS2,62.7,58,5530,6.88,6.91,4.32
13477,1.15,Ideal,I,VS2,61.7,57,5534,6.72,6.74,4.15
13559,1.2,Premium,D,SI2,62.6,57,5551,6.84,6.74,4.25
13619,1.21,Premium,J,VVS2,60.8,60,5572,6.86,6.88,4.18
13641,1.08,Premium,H,VS1,59.6,59,5582,6.72,6.66,3.99
13650,1.33,Very Good,H,SI2,63.5,57,5586,6.99,6.88,4.4
13699,1,Good,G,VS2,63.4,61,5600,6.23,6.29,3.97
13701,1.13,Premium,G,SI1,60.9,58,5600,6.75,6.72,4.1
13716,0.3,Ideal,E,VS2,61.8,57,603,4.28,4.3,2.65
13802,1.03,Premium,H,VS1,62,59,5624,6.48,6.45,4.01
13814,1.25,Very Good,J,VS1,60.4,60,5628,6.99,7.08,4.25
13903,1.05,Very Good,H,VS1,63.3,57,5657,6.45,6.4,4.07
14050,0.32,Ideal,I,VS1,62.3,56,605,4.4,4.37,2.73
14063,0.3,Ideal,H,VVS2,62.6,55,605,4.25,4.28,2.67
14114,1.46,Fair,H,SI2,56.3,60,5723,7.61,7.55,4.27
14117,1,Premium,D,SI1,62.2,58,5723,6.45,6.34,3.98
14148,1.25,Premium,I,SI1,62.4,58,5740,6.89,6.85,4.29
14312,1.24,Ideal,I,SI1,62.1,56,5797,6.84,6.88,4.26
14350,1.14,Premium,H,VS1,62,62,5809,6.74,6.65,4.15
14400,0.3,Premium,F,VS2,62.2,60,605,4.22,4.27,2.64
14411,1.07,Ideal,H,VS2,62,57,5820,6.55,6.58,4.07
14512,1.14,Ideal,H,SI1,60.4,57,5861,6.78,6.83,4.11
14659,1.31,Very Good,I,SI2,62.7,58,5916,6.88,6.94,4.33
14712,0.3,Ideal,F,VS2,61.3,55,605,4.3,4.32,2.64
14718,0.3,Ideal,F,VS2,60.7,56,605,4.32,4.34,2.63
14795,1.05,Very Good,D,SI1,59.3,59,5952,6.63,6.69,3.95
14811,1.01,Premium,G,VVS2,61.5,61,5963,6.44,6.38,3.94
14857,1,Good,E,VS2,63.3,59,5984,6.29,6.34,4
14886,1.01,Ideal,G,VS2,61.7,57,5995,6.48,6.45,3.99
14915,0.8,Ideal,D,VVS2,61.9,56,6004,5.91,5.95,3.67
14981,1.03,Very Good,G,VS2,62.1,57,6036,6.41,6.48,4
15169,1.01,Ideal,D,SI1,63,57,6097,6.43,6.34,4.02
15209,1.01,Premium,G,VS2,62.4,58,6108,6.41,6.38,3.99
15285,1.09,Ideal,D,SI1,61.9,57,6133,6.57,6.61,4.08
15295,1.4,Ideal,J,SI1,62.7,57,6139,7.13,7.09,4.46
15341,1.01,Very Good,F,VS2,61.5,57,6159,6.4,6.48,3.96
15358,1.01,Premium,F,VS2,63,58,6165,6.4,6.34,4.01
15510,1.01,Very Good,G,VS2,60.2,58,6213,6.51,6.54,3.93
15613,1.07,Very Good,H,VS1,62.5,56,6262,6.52,6.55,4.08
15649,1.07,Very Good,G,VS2,62.3,57,6274,6.56,6.47,4.06
15744,1,Premium,F,VS2,62.9,59,6296,6.47,6.4,4.02
15750,1.25,Premium,G,SI2,60.4,59,6300,6.98,6.96,4.21
15916,1.5,Good,I,SI2,65,55,6364,7.15,7.24,4.68
15986,1.22,Ideal,H,SI2,62.3,57,6398,6.84,6.89,4.28
16109,1,Very Good,D,VS2,63.1,59,6440,6.26,6.36,3.98
16211,1.02,Ideal,F,VS2,62.7,56,6479,6.39,6.44,4.02
16239,1.37,Premium,G,SI2,59.6,60,6495,7.24,7.18,4.3
16372,0.33,Ideal,D,SI1,61.3,56,608,4.44,4.46,2.73
16385,1.04,Ideal,G,VS2,62.8,56,6542,6.48,6.42,4.05
16414,1.52,Premium,F,SI2,60.7,61,6554,7.47,7.36,4.5
16442,1.06,Ideal,D,SI1,61.5,56,6565,6.58,6.55,4.04
16544,1,Premium,F,VS2,61.7,56,6608,6.48,6.39,3.97
16554,1.01,Very Good,G,VS1,62.2,53,6613,6.48,6.54,4.05
16673,1,Ideal,D,SI1,62.5,55,6664,6.42,6.34,3.99
16702,0.3,Ideal,H,SI1,62.6,55,421,4.28,4.32,2.69
16706,0.3,Premium,H,SI1,61.2,60,421,4.29,4.31,2.63
16730,0.3,Premium,D,VS1,60.2,59,610,4.39,4.42,2.65
16887,1.26,Ideal,G,SI1,59.6,57,6738,7.08,7.04,4.21
17053,0.41,Ideal,F,SI2,61.6,54,612,4.78,4.8,2.95
17055,0.4,Ideal,J,SI1,61.6,56,612,4.72,4.77,2.93
17274,1.26,Premium,F,SI1,62.3,58,6915,6.89,6.84,4.28
17288,1.12,Very Good,F,VS2,62,58,6925,6.63,6.69,4.13
17351,1.22,Very Good,G,VS2,63.1,56,6962,6.82,6.8,4.3
17383,0.34,Premium,E,SI2,62.4,59,612,4.46,4.42,2.77
17397,0.32,Ideal,D,SI2,62.6,56,612,4.4,4.38,2.75
17434,1.41,Premium,D,SI2,61.1,56,6988,7.19,7.15,4.38
17475,1.34,Ideal,I,VS1,62.2,57,7016,7.02,7.06,4.38
17627,1.5,Very Good,G,SI2,63.2,58,7098,7.25,7.19,4.56
17640,1.22,Premium,H,VS1,62.7,56,7105,6.82,6.74,4.25
17647,1.52,Ideal,G,SI2,61.9,57,7108,7.43,7.38,4.58
17700,1.01,Very Good,G,VVS2,62.5,54,7137,6.38,6.41,4
17761,1.22,Very Good,H,VS1,58.9,59,7152,6.96,7.02,4.12
17813,1.01,Ideal,G,VS2,61.9,56,7179,6.4,6.44,3.97
17833,1.2,Ideal,H,VS2,60.8,55,7190,6.9,6.85,4.18
17908,1.07,Premium,F,VS1,62.4,58,7232,6.52,6.49,4.06
17944,1.7,Premium,I,SI2,59.4,59,7250,7.83,7.75,4.63
17969,1.22,Premium,E,SI1,62.6,58,7262,6.78,6.8,4.25
18015,1.54,Premium,G,SI2,61.6,58,7287,7.45,7.3,4.57
18024,1.5,Good,H,SI2,64.2,56,7291,7.26,7.2,4.64
18029,1.09,Ideal,G,VS2,62.8,57,7292,6.54,6.58,4.12
18038,0.35,Very Good,E,SI1,62.7,57,614,4.47,4.52,2.82
18155,1.09,Ideal,G,VS2,61.2,56,7357,6.62,6.64,4.06
18170,1.01,Ideal,G,VVS2,60.6,57,7366,6.54,6.5,3.95
18214,1.5,Very Good,I,SI2,60.8,58,7392,7.24,7.34,4.43
18242,1.75,Ideal,H,I1,61.5,55,7409,7.78,7.75,4.78
18257,1.31,Very Good,H,VS2,61.4,59,7415,6.96,7.01,4.29
18305,1.02,Ideal,G,VS1,62.4,57,7440,6.41,6.43,4.01
18341,1.2,Ideal,F,SI1,61.5,53,7463,6.87,6.9,4.24
18465,1.07,Very Good,F,VS1,62,56,7513,6.51,6.55,4.05
18518,1.08,Premium,E,VS2,59.4,59,7548,6.71,6.68,3.98
18614,1.06,Ideal,F,VS2,61.2,57,7592,6.58,6.55,4.02
18676,1.34,Very Good,H,SI1,62.4,58,7636,6.98,7.02,4.37
18683,1.36,Good,G,SI1,63.8,55,7639,6.97,6.94,4.44
18707,0.27,Very Good,E,VVS2,62,59,620,4.14,4.18,2.58
18932,1.02,Very Good,E,VS1,60.1,59,7779,6.48,6.53,3.91
18935,1.51,Ideal,H,SI1,61.7,56,7780,7.25,7.18,4.45
19042,0.3,Ideal,F,VS1,62.2,56,621,4.31,4.34,2.69
19053,1.02,Ideal,F,VS1,62.2,57,7836,6.39,6.43,3.99
19062,1.61,Premium,J,VS2,61.7,59,7844,7.51,7.46,4.62
19094,1.01,Premium,F,VS1,58.8,60,7862,6.59,6.51,3.85
19175,1.43,Fair,E,SI1,65.1,56,7928,7.1,7.03,4.61
19218,2.01,Good,H,I1,61.7,63,7959,7.91,7.94,4.89
19224,1.01,Premium,G,VVS2,61.9,59,7964,6.45,6.41,3.98
19408,1.25,Premium,G,VS2,61.9,58,8064,6.91,6.85,4.26
19463,1.56,Good,J,VS2,62.3,64,8107,7.41,7.36,4.6
19809,1.01,Very Good,G,VVS1,61.8,59,8373,6.47,6.41,3.98
19938,1.2,Ideal,F,VS2,62.3,55,8486,6.83,6.79,4.24
19994,1.01,Ideal,F,VVS2,61.8,56,8532,6.46,6.49,4
20017,0.3,Very Good,H,SI1,60.8,61,421,4.25,4.3,2.6
20039,0.3,Good,H,SI1,63.4,58,421,4.21,4.24,2.68
20223,1.43,Very Good,H,SI1,61.7,59,8654,7.23,7.29,4.48
20265,1.19,Very Good,G,VVS2,61.8,59,8689,6.75,6.77,4.18
